consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
121482,Florida,Urban,2016-04-07T13:42:00Z,Daylight,26.91666944,-82.30485833,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122064,Florida,Urban,2016-09-24T09:33:00Z,Daylight,26.56850278,-81.78258056,Dry,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
371094,North Carolina,Urban,2016-10-10T14:43:00Z,Daylight,36.28132222,-80.85245278,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
210337,Kentucky,Urban,2016-06-28T15:57:00Z,Daylight,38.22781944,-85.48879444,Dry,"Blacktop, Bituminous, or Asphalt",Curve – Unknown Direction,Hillcrest,"Yes, Exceeded Speed Limit",53,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
270235,Minnesota,Rural,2016-09-09T06:45:00Z,Daylight,46.52924167,-94.59278889,Wet,"Slag, Gravel or Stone",Straight,Uphill,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420639,Pennsylvania,Rural,2016-09-24T16:29:00Z,Daylight,40.44041944,-75.39173611,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420682,Pennsylvania,Rural,2016-08-29T17:16:00Z,Daylight,40.58504722,-75.314625,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,Uphill,No,40,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
360743,New York,Rural,2016-09-06T13:46:00Z,Daylight,44.91235,-73.82317778,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",97,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
170910,Illinois,Rural,2016-09-17T22:21:00Z,Dark – Not Lighted,42.47162222,-90.21740278,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
320276,Nevada,Rural,2016-09-24T03:55:00Z,Dark – Not Lighted,36.19681667,-115.98179167,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",50,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
320095,Nevada,Urban,2016-04-02T12:42:00Z,Daylight,36.12611667,-115.21144444,Non-Trafficway Area or Driveway Access,Non-Trafficway or Driveway Access,Straight,Uphill,"Yes, Exceeded Speed Limit",59,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
550306,Wisconsin,Rural,2016-08-01T17:45:00Z,Daylight,43.30050278,-88.04381389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,50,Not Distracted,None/Apparently Normal,"Reflected Glare, Bright Sunlight, Headlights",Clear
550332,Wisconsin,Rural,2016-08-18T16:32:00Z,Daylight,46.07045278,-91.43254167,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,Level,No,40,Other Distraction,None/Apparently Normal,No Obstruction Noted,Clear
390038,Ohio,Rural,2016-01-21T15:06:00Z,Daylight,40.16527222,-84.59219444,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,1,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
550424,Wisconsin,Rural,2016-10-29T18:18:00Z,Dark – Not Lighted,42.6164,-88.66391111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420860,Pennsylvania,Rural,2016-11-13T16:19:00Z,Daylight,39.92570833,-76.26111944,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,5,Not Distracted,"Walking with a Cane or Crutches, etc.",No Obstruction Noted,Clear
420019,Pennsylvania,Rural,2016-01-11T12:08:00Z,Daylight,40.40629444,-75.47246667,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,"Yes, Specifics Unknown",45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420951,Pennsylvania,Rural,2016-11-25T21:07:00Z,Dark – Lighted,40.03472778,-76.10630556,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Downhill,"Yes, Specifics Unknown",80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420854,Pennsylvania,Rural,2016-11-12T00:16:00Z,Dark – Lighted,39.85834722,-75.25339444,Dry,Concrete,Straight,Level,No,35,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
421003,Pennsylvania,Rural,2016-08-13T14:04:00Z,Daylight,40.749325,-77.89632222,Wet,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
550105,Wisconsin,Rural,2016-04-02T18:48:00Z,Daylight,44.95266111,-90.33671667,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,40,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121211,Florida,Urban,2016-05-26T23:46:00Z,Dark – Lighted,26.13900833,-80.17853611,Wet,Not Reported,Straight,Level,No,55,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Other
122839,Florida,Rural,2016-12-24T19:05:00Z,Dark – Lighted,29.02077778,-82.19738611,Dry,Not Reported,Straight,Level,No,35,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
